Fecha,Partido,Competición,Duración,Equipo,Seleccionar esquema,Goles,xG,Tiros totales,Tiros a portería,% tiros portería,Pases intentados,Pases logrados,% pases,"Posesión del balón, %",Balones perdidos totales,Balones perdidos inicio,Balones perdidos medio,Balones perdidos último tercio,Balones recuperados totales,Balones recuperados inicio,Balones recuperados medio,Balones recuperados último tercio,Duelos totales,Duelos ganados,% duelos ganados
2026-02-21,Unionistas de Salamanca - Arenas Club 2:0,Spain. Primera Division RFEF,107.0,Unionistas de Salamanca,4-5-1 (100.0%),2.0,1.17,7.0,3.0,42.86,297.0,221.0,74.41,44.72,99.0,14.0,29.0,56.0,79.0,35.0,31.0,13.0,230.0,120.0,52.17
2026-03-01,Arenas Club - Barakaldo 2:1,Spain. Primera Division RFEF,107.0,Arenas Club,4-4-2 (49.65%),2.0,0.67,5.0,3.0,60.0,182.0,131.0,71.98,28.98,108.0,24.0,46.0,38.0,80.0,49.0,24.0,7.0,183.0,84.0,45.9
2026-03-01,Arenas Club - Barakaldo 2:1,Spain. Primera Division RFEF,107.0,Barakaldo,4-2-3-1 (100.0%),1.0,1.97,10.0,2.0,20.0,487.0,396.0,81.31,71.02,122.0,11.0,36.0,75.0,91.0,37.0,35.0,19.0,183.0,96.0,52.46
2026-03-08,Athletic Bilbao - Arenas Club 1:1,Spain. Primera Division RFEF,98.0,Arenas Club,4-1-4-1 (100.0%),1.0,0.99,5.0,3.0,60.0,448.0,359.0,80.13,44.02,122.0,39.0,50.0,33.0,89.0,49.0,31.0,9.0,199.0,106.0,53.27
2026-03-08,Athletic Bilbao - Arenas Club 1:1,Spain. Primera Division RFEF,98.0,Athletic Bilbao,4-4-2 (100.0%),1.0,2.56,20.0,7.0,35.0,546.0,463.0,84.8,55.98,114.0,14.0,36.0,64.0,91.0,25.0,47.0,19.0,199.0,89.0,44.72
2026-03-22,Lugo - Arenas Club 1:1,Spain. Primera Division RFEF,99.0,Arenas Club,4-2-3-1 (100.0%),1.0,1.03,8.0,2.0,25.0,327.0,260.0,79.51,39.76,106.0,32.0,28.0,46.0,69.0,35.0,20.0,14.0,159.0,59.0,37.11
2026-03-22,Lugo - Arenas Club 1:1,Spain. Primera Division RFEF,99.0,Lugo,4-5-1 (100.0%),1.0,1.88,13.0,4.0,30.77,474.0,395.0,83.33,60.24,112.0,20.0,31.0,61.0,80.0,41.0,21.0,18.0,159.0,96.0,60.38
2026-03-28,Arenas Club - Real Avilés 3:2,Spain. Primera Division RFEF,102.0,Arenas Club,4-2-3-1 (100.0%),3.0,1.9,9.0,4.0,44.44,495.0,416.0,84.04,58.85,115.0,15.0,48.0,52.0,80.0,29.0,39.0,12.0,199.0,99.0,49.75
2026-03-28,Arenas Club - Real Avilés 3:2,Spain. Primera Division RFEF,102.0,Real Avilés,4-4-2 (100.0%),2.0,1.15,9.0,5.0,55.56,387.0,308.0,79.59,41.15,111.0,20.0,52.0,39.0,72.0,36.0,30.0,6.0,199.0,94.0,47.24
2026-04-05,Arenteiro - Arenas Club 1:2,Spain. Primera Division RFEF,108.0,Arenas Club,4-4-2 (100.0%),2.0,1.09,11.0,5.0,45.45,303.0,214.0,70.63,45.38,142.0,30.0,56.0,56.0,89.0,55.0,25.0,9.0,230.0,109.0,47.39
